*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 12, 2025 18:04:53

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2014 282     9     0    175  0.0000  0.0220  0.0143  0.0060  0.0000 0.00000  3.916  7.824 29.100 25.019  0.0000  0.0000  0.0000
 2014 283    10     1    175  0.1518  0.0142  0.0741  0.0095  0.0833 0.00000  3.873  7.710 29.359 24.828  0.0000  0.0000  0.0000
 2014 284    11     2    183  1.7319  0.0174  1.0074  0.3872  0.1604 0.00000  3.847  7.595 29.850 25.323  0.0000  0.0000  0.0000
 2014 285    12     3    193  1.7836  0.0183  1.1742  0.3463  0.1624 0.00000  3.820  7.491 29.397 24.978  0.0000  0.0000  0.0000
 2014 286    13     4    203  1.8113  0.0192  1.1834  0.3525  0.1707 0.00000  3.794  7.393 29.480 25.238  0.0000  0.0000  0.0000
 2014 287    14     5    207  0.9212  0.0211  0.6233  0.1523  0.1312 0.00000  3.763  7.269 27.685 25.184  0.0000  0.0000  0.0000
 2014 288    15     6    217  1.7930  0.0210  1.1935  0.3581  0.1315 0.00000  3.742  7.177 25.565 21.330  0.0000  0.0000  0.0000
 2014 289    16     7    229  2.1223  0.0214  1.4427  0.4220  0.1330 0.00000  3.725  7.102 24.439 20.172  0.0000  0.0000  0.0000
 2014 290    17     8    241  2.1971  0.0209  1.4913  0.4403  0.1322 0.00000  3.709  7.039 24.660 19.322  0.0000  0.0000  0.0000
 2014 291    18     9    254  2.1904  0.0214  1.4831  0.4434  0.1362 0.00000  3.697  6.977 24.965 19.285  0.0000  0.0000  0.0000
 2014 292    19    10    265  2.0956  0.0234  1.4200  0.4151  0.1520 0.00000  3.686  6.905 25.896 20.671  0.0000  0.0000  0.0000
 2014 293    20    11    276  1.9973  0.0248  1.3246  0.4198  0.1639 0.00000  3.690  6.816 26.617 21.638  0.0000  0.0000  0.0000
 2014 294    21    12    283  1.5385  0.0274  1.0232  0.3027  0.1709 0.00000  3.680  6.708 26.887 23.536  0.0000  0.0000  0.0000
 2014 295    22    13    295  2.3143  0.0268  1.4880  0.4965  0.2060 0.00000  3.676  6.626 27.506 23.467  0.0000  0.0000  0.0000
 2014 296    23    14    311  2.7823  0.0271  1.8448  0.6020  0.1912 0.00000  3.685  6.559 25.411 21.030  0.0000  0.0000  0.0000
 2014 297    24    15    327  2.9864  0.0279  1.9915  0.6496  0.1886 0.00000  3.695  6.499 24.503 20.126  0.0000  0.0000  0.0000
 2014 298    25    16    346  3.3198  0.0285  2.2121  0.7306  0.1928 0.00000  3.705  6.450 23.982 19.402  0.0000  0.0000  0.0000
 2014 299    26    17    366  3.5454  0.0257  2.3403  0.7974  0.1881 0.00000  3.713  6.420 24.391 17.853  0.0000  0.0000  0.0000
 2014 300    27    18    387  3.7272  0.0289  2.4754  0.8193  0.2246 0.00000  3.721  6.383 25.484 19.502  0.0000  0.0000  0.0000
 2014 301    28    19    409  3.8371  0.0321  2.5364  0.8325  0.2634 0.00000  3.727  6.337 26.499 21.105  0.0000  0.0000  0.0000
 2014 302    29    20    428  3.5049  0.0344  2.3179  0.7443  0.2746 0.00000  3.727  6.279 26.981 21.935  0.0000  0.0000  0.0000
 2014 303    30    21    446  3.4389  0.0369  2.2747  0.7260  0.2796 0.00000  3.723  6.214 26.519 22.094  0.0000  0.0000  0.0000
 2014 304    31    22    473  4.8498  0.0406  3.2137  1.0744  0.2842 0.00000  3.724  6.164 23.018 20.208  0.0000  0.0000  0.0000
 2014 305    32    23    504  5.2312  0.0271  3.5096  1.2189  0.1456 0.00072  3.739  6.170 15.881 12.662  0.0000  0.0000  0.0000
 2014 306    33    24    537  5.4063  0.0256  3.6170  1.2683  0.1424 0.00172  3.750  6.188 16.527 11.463  0.0000  0.0000  0.0000
 2014 307    34    25    570  5.5915  0.0327  3.7506  1.2836  0.1981 0.00295  3.758  6.193 19.671 13.824  0.0000  0.0000  0.0000
 2014 308    35    26    600  5.3510  0.0433  3.6109  1.1670  0.2953 0.00441  3.765  6.172 23.473 18.178  0.0000  0.0000  0.0000
 2014 309    36    27    630  5.4935  0.0509  3.6424  1.1798  0.3903 0.00614  3.768  6.141 25.430 21.300  0.0000  0.0000  0.0000
